,return_id,sku_id,date,return_qty,reason,location
34,R00035,SKU002,2024-01-07,3,Wrong Item,Bangalore
35,R00036,SKU002,2024-01-07,2,Damaged,Hyderabad
36,R00037,SKU002,2024-01-07,2,Late Delivery,Hyderabad
37,R00038,SKU002,2024-01-07,3,Other,Delhi
38,R00039,SKU002,2024-01-07,1,Late Delivery,Bangalore
39,R00040,SKU002,2024-01-07,1,Late Delivery,Hyderabad
40,R00041,SKU002,2024-01-07,3,Wrong Item,Delhi
41,R00042,SKU002,2024-01-07,1,Damaged,Hyderabad
42,R00043,SKU002,2024-01-07,1,Wrong Item,Bangalore
43,R00044,SKU002,2024-01-07,1,Other,Mumbai
44,R00045,SKU002,2024-01-07,3,Wrong Item,Mumbai
45,R00046,SKU002,2024-01-07,3,Damaged,Mumbai
46,R00047,SKU002,2024-01-07,3,Wrong Item,Hyderabad
47,R00048,SKU003,2024-01-07,1,Other,Delhi
48,R00049,SKU003,2024-01-07,3,Damaged,Delhi
49,R00050,SKU003,2024-01-07,3,Damaged,Hyderabad
50,R00051,SKU003,2024-01-07,3,Wrong Item,Bangalore
51,R00052,SKU003,2024-01-07,2,Damaged,Delhi
52,R00053,SKU003,2024-01-07,1,Damaged,Delhi
53,R00054,SKU003,2024-01-07,1,Wrong Item,Hyderabad
54,R00055,SKU003,2024-01-07,1,Late Delivery,Delhi
55,R00056,SKU003,2024-01-07,2,Wrong Item,Bangalore
56,R00057,SKU003,2024-01-07,2,Damaged,Bangalore
57,R00058,SKU003,2024-01-07,2,Late Delivery,Bangalore
58,R00059,SKU003,2024-01-07,3,Damaged,Chennai
59,R00060,SKU003,2024-01-07,2,Late Delivery,Chennai
60,R00061,SKU003,2024-01-07,3,Other,Bangalore
61,R00062,SKU003,2024-01-07,2,Wrong Item,Bangalore
62,R00063,SKU003,2024-01-07,2,Damaged,Mumbai
63,R00064,SKU003,2024-01-07,2,Late Delivery,Chennai
64,R00065,SKU003,2024-01-07,3,Wrong Item,Chennai
65,R00066,SKU003,2024-01-07,1,Late Delivery,Hyderabad
66,R00067,SKU003,2024-01-07,3,Other,Bangalore
67,R00068,SKU003,2024-01-07,2,Other,Mumbai
68,R00069,SKU003,2024-01-07,3,Wrong Item,Chennai
69,R00070,SKU003,2024-01-07,2,Wrong Item,Delhi
70,R00071,SKU003,2024-01-07,3,Other,Mumbai
71,R00072,SKU003,2024-01-07,1,Wrong Item,Delhi
72,R00073,SKU003,2024-01-07,3,Other,Hyderabad
73,R00074,SKU003,2024-01-07,3,Wrong Item,Chennai
74,R00075,SKU003,2024-01-07,1,Late Delivery,Chennai
75,R00076,SKU003,2024-01-07,2,Late Delivery,Hyderabad
76,R00077,SKU003,2024-01-07,3,Other,Hyderabad
77,R00078,SKU004,2024-01-07,1,Late Delivery,Hyderabad
78,R00079,SKU004,2024-01-07,3,Damaged,Bangalore
79,R00080,SKU004,2024-01-07,1,Damaged,Bangalore
80,R00081,SKU004,2024-01-07,1,Damaged,Delhi
81,R00082,SKU004,2024-01-07,1,Late Delivery,Delhi
82,R00083,SKU004,2024-01-07,3,Late Delivery,Hyderabad
83,R00084,SKU004,2024-01-07,1,Wrong Item,Bangalore
84,R00085,SKU004,2024-01-07,3,Late Delivery,Bangalore
85,R00086,SKU004,2024-01-07,2,Wrong Item,Bangalore
86,R00087,SKU004,2024-01-07,2,Late Delivery,Hyderabad
87,R00088,SKU004,2024-01-07,1,Damaged,Mumbai
88,R00089,SKU004,2024-01-07,3,Other,Mumbai
89,R00090,SKU004,2024-01-07,3,Late Delivery,Chennai
90,R00091,SKU004,2024-01-07,1,Other,Delhi
91,R00092,SKU004,2024-01-07,1,Wrong Item,Delhi
92,R00093,SKU004,2024-01-07,3,Other,Delhi
93,R00094,SKU004,2024-01-07,1,Late Delivery,Mumbai
94,R00095,SKU004,2024-01-07,1,Damaged,Chennai
95,R00096,SKU004,2024-01-07,3,Damaged,Bangalore
96,R00097,SKU004,2024-01-07,3,Other,Bangalore
97,R00098,SKU004,2024-01-07,2,Other,Bangalore
98,R00099,SKU004,2024-01-07,2,Other,Chennai
99,R00100,SKU004,2024-01-07,3,Other,Delhi
100,R00101,SKU004,2024-01-07,1,Damaged,Hyderabad
101,R00102,SKU005,2024-01-07,2,Wrong Item,Delhi
102,R00103,SKU005,2024-01-07,3,Other,Chennai
103,R00104,SKU005,2024-01-07,1,Late Delivery,Chennai
104,R00105,SKU005,2024-01-07,2,Damaged,Mumbai
105,R00106,SKU005,2024-01-07,2,Damaged,Bangalore
106,R00107,SKU005,2024-01-07,1,Wrong Item,Bangalore
107,R00108,SKU005,2024-01-07,1,Other,Hyderabad
108,R00109,SKU005,2024-01-07,3,Damaged,Chennai
109,R00110,SKU005,2024-01-07,3,Wrong Item,Chennai
110,R00111,SKU005,2024-01-07,3,Other,Chennai
111,R00112,SKU005,2024-01-07,1,Damaged,Bangalore
112,R00113,SKU005,2024-01-07,3,Other,Chennai
113,R00114,SKU005,2024-01-07,1,Late Delivery,Bangalore
114,R00115,SKU005,2024-01-07,2,Late Delivery,Bangalore
115,R00116,SKU005,2024-01-07,1,Other,Mumbai
116,R00117,SKU005,2024-01-07,1,Wrong Item,Chennai
117,R00118,SKU005,2024-01-07,3,Wrong Item,Hyderabad
118,R00119,SKU005,2024-01-07,1,Damaged,Hyderabad
119,R00120,SKU005,2024-01-07,2,Other,Chennai
120,R00121,SKU005,2024-01-07,3,Other,Delhi
121,R00122,SKU005,2024-01-07,3,Other,Delhi
122,R00123,SKU005,2024-01-07,1,Late Delivery,Delhi
123,R00124,SKU005,2024-01-07,1,Other,Mumbai
124,R00125,SKU005,2024-01-07,3,Wrong Item,Mumbai
125,R00126,SKU005,2024-01-07,1,Other,Delhi
126,R00127,SKU005,2024-01-07,1,Wrong Item,Hyderabad
127,R00128,SKU005,2024-01-07,2,Late Delivery,Delhi
128,R00129,SKU006,2024-01-07,2,Damaged,Delhi
129,R00130,SKU006,2024-01-07,3,Damaged,Chennai
130,R00131,SKU006,2024-01-07,1,Other,Mumbai
131,R00132,SKU006,2024-01-07,3,Damaged,Mumbai
132,R00133,SKU006,2024-01-07,1,Other,Chennai
133,R00134,SKU006,2024-01-07,2,Wrong Item,Bangalore
134,R00135,SKU006,2024-01-07,1,Other,Delhi
135,R00136,SKU006,2024-01-07,2,Late Delivery,Delhi
136,R00137,SKU006,2024-01-07,1,Wrong Item,Chennai
137,R00138,SKU006,2024-01-07,3,Other,Chennai
138,R00139,SKU006,2024-01-07,1,Other,Mumbai
139,R00140,SKU006,2024-01-07,2,Other,Chennai
140,R00141,SKU006,2024-01-07,1,Damaged,Delhi
141,R00142,SKU006,2024-01-07,3,Wrong Item,Hyderabad
142,R00143,SKU006,2024-01-07,1,Other,Hyderabad
143,R00144,SKU006,2024-01-07,3,Damaged,Hyderabad
144,R00145,SKU006,2024-01-07,2,Other,Hyderabad
145,R00146,SKU006,2024-01-07,2,Damaged,Chennai
146,R00147,SKU006,2024-01-07,2,Wrong Item,Bangalore
147,R00148,SKU006,2024-01-07,2,Damaged,Bangalore
148,R00149,SKU006,2024-01-07,3,Late Delivery,Delhi
149,R00150,SKU006,2024-01-07,1,Wrong Item,Chennai
150,R00151,SKU006,2024-01-07,2,Wrong Item,Chennai
151,R00152,SKU006,2024-01-07,1,Damaged,Delhi
152,R00153,SKU006,2024-01-07,2,Other,Chennai
153,R00154,SKU006,2024-01-07,1,Wrong Item,Mumbai
154,R00155,SKU006,2024-01-07,3,Other,Chennai
155,R00156,SKU006,2024-01-07,3,Other,Chennai
156,R00157,SKU007,2024-01-07,2,Late Delivery,Mumbai
157,R00158,SKU007,2024-01-07,3,Other,Chennai
158,R00159,SKU007,2024-01-07,1,Late Delivery,Hyderabad
159,R00160,SKU007,2024-01-07,1,Damaged,Bangalore
160,R00161,SKU007,2024-01-07,3,Other,Mumbai
161,R00162,SKU007,2024-01-07,2,Late Delivery,Chennai
162,R00163,SKU007,2024-01-07,2,Other,Delhi
163,R00164,SKU007,2024-01-07,1,Other,Chennai
164,R00165,SKU007,2024-01-07,3,Late Delivery,Chennai
165,R00166,SKU007,2024-01-07,2,Other,Chennai
166,R00167,SKU007,2024-01-07,1,Other,Mumbai
167,R00168,SKU007,2024-01-07,3,Wrong Item,Chennai
168,R00169,SKU007,2024-01-07,3,Wrong Item,Hyderabad
169,R00170,SKU007,2024-01-07,3,Wrong Item,Delhi
170,R00171,SKU007,2024-01-07,3,Damaged,Delhi
171,R00172,SKU007,2024-01-07,1,Damaged,Mumbai
172,R00173,SKU007,2024-01-07,1,Damaged,Bangalore
173,R00174,SKU007,2024-01-07,3,Other,Delhi
174,R00175,SKU007,2024-01-07,3,Wrong Item,Mumbai
175,R00176,SKU007,2024-01-07,2,Damaged,Bangalore
176,R00177,SKU007,2024-01-07,1,Late Delivery,Hyderabad
177,R00178,SKU007,2024-01-07,2,Damaged,Mumbai
178,R00179,SKU007,2024-01-07,2,Wrong Item,Bangalore
179,R00180,SKU007,2024-01-07,3,Wrong Item,Mumbai
180,R00181,SKU007,2024-01-07,3,Other,Delhi
181,R00182,SKU008,2024-01-07,2,Wrong Item,Mumbai
182,R00183,SKU008,2024-01-07,1,Wrong Item,Chennai
183,R00184,SKU008,2024-01-07,1,Other,Bangalore
184,R00185,SKU008,2024-01-07,1,Damaged,Bangalore
185,R00186,SKU008,2024-01-07,3,Other,Delhi
186,R00187,SKU008,2024-01-07,3,Late Delivery,Delhi
187,R00188,SKU008,2024-01-07,3,Damaged,Chennai
188,R00189,SKU008,2024-01-07,1,Other,Bangalore
189,R00190,SKU008,2024-01-07,1,Other,Hyderabad
190,R00191,SKU008,2024-01-07,3,Other,Hyderabad
191,R00192,SKU008,2024-01-07,1,Other,Mumbai
192,R00193,SKU008,2024-01-07,2,Other,Mumbai
193,R00194,SKU008,2024-01-07,2,Late Delivery,Mumbai
194,R00195,SKU008,2024-01-07,1,Damaged,Chennai
195,R00196,SKU008,2024-01-07,1,Wrong Item,Mumbai
196,R00197,SKU008,2024-01-07,1,Damaged,Hyderabad
197,R00198,SKU009,2024-01-07,1,Wrong Item,Chennai
198,R00199,SKU009,2024-01-07,3,Other,Bangalore
199,R00200,SKU009,2024-01-07,3,Other,Hyderabad
200,R00201,SKU009,2024-01-07,3,Late Delivery,Bangalore
201,R00202,SKU009,2024-01-07,1,Damaged,Mumbai
202,R00203,SKU009,2024-01-07,2,Late Delivery,Delhi
203,R00204,SKU009,2024-01-07,1,Wrong Item,Mumbai
204,R00205,SKU009,2024-01-07,1,Damaged,Mumbai
205,R00206,SKU009,2024-01-07,3,Late Delivery,Chennai
206,R00207,SKU009,2024-01-07,2,Damaged,Delhi
207,R00208,SKU009,2024-01-07,3,Other,Chennai
208,R00209,SKU009,2024-01-07,1,Late Delivery,Bangalore
209,R00210,SKU009,2024-01-07,1,Damaged,Hyderabad
210,R00211,SKU009,2024-01-07,3,Late Delivery,Delhi
211,R00212,SKU009,2024-01-07,2,Damaged,Chennai
212,R00213,SKU009,2024-01-07,2,Wrong Item,Mumbai
213,R00214,SKU010,2024-01-07,2,Damaged,Delhi
214,R00215,SKU010,2024-01-07,2,Wrong Item,Delhi
215,R00216,SKU010,2024-01-07,3,Damaged,Delhi
216,R00217,SKU010,2024-01-07,2,Late Delivery,Hyderabad
217,R00218,SKU010,2024-01-07,3,Other,Mumbai
218,R00219,SKU010,2024-01-07,3,Other,Bangalore
219,R00220,SKU010,2024-01-07,1,Late Delivery,Bangalore
220,R00221,SKU010,2024-01-07,2,Late Delivery,Hyderabad
221,R00222,SKU010,2024-01-07,1,Damaged,Delhi
222,R00223,SKU010,2024-01-07,2,Damaged,Hyderabad
223,R00224,SKU010,2024-01-07,2,Other,Hyderabad
224,R00225,SKU010,2024-01-07,2,Other,Bangalore
225,R00226,SKU010,2024-01-07,1,Wrong Item,Hyderabad
226,R00227,SKU010,2024-01-07,2,Wrong Item,Mumbai
227,R00228,SKU010,2024-01-07,1,Other,Bangalore
228,R00229,SKU011,2024-01-07,2,Wrong Item,Chennai
229,R00230,SKU011,2024-01-07,2,Damaged,Mumbai
230,R00231,SKU011,2024-01-07,2,Other,Hyderabad
231,R00232,SKU011,2024-01-07,3,Late Delivery,Mumbai
232,R00233,SKU011,2024-01-07,2,Wrong Item,Bangalore
233,R00234,SKU011,2024-01-07,2,Other,Delhi
234,R00235,SKU011,2024-01-07,1,Late Delivery,Delhi
235,R00236,SKU011,2024-01-07,3,Damaged,Delhi
236,R00237,SKU011,2024-01-07,1,Other,Delhi
237,R00238,SKU011,2024-01-07,3,Other,Bangalore
238,R00239,SKU011,2024-01-07,1,Late Delivery,Bangalore
239,R00240,SKU011,2024-01-07,3,Late Delivery,Hyderabad
240,R00241,SKU011,2024-01-07,2,Wrong Item,Mumbai
241,R00242,SKU011,2024-01-07,3,Damaged,Chennai
242,R00243,SKU011,2024-01-07,3,Wrong Item,Mumbai
243,R00244,SKU011,2024-01-07,3,Damaged,Chennai
244,R00245,SKU011,2024-01-07,2,Other,Delhi
245,R00246,SKU011,2024-01-07,1,Wrong Item,Bangalore
246,R00247,SKU011,2024-01-07,1,Damaged,Bangalore
247,R00248,SKU011,2024-01-07,1,Wrong Item,Delhi
248,R00249,SKU011,2024-01-07,2,Wrong Item,Delhi
249,R00250,SKU011,2024-01-07,2,Damaged,Bangalore
250,R00251,SKU011,2024-01-07,3,Damaged,Delhi
251,R00252,SKU012,2024-01-07,3,Other,Hyderabad
252,R00253,SKU012,2024-01-07,1,Damaged,Chennai
253,R00254,SKU012,2024-01-07,2,Late Delivery,Chennai
254,R00255,SKU012,2024-01-07,2,Damaged,Mumbai
255,R00256,SKU012,2024-01-07,1,Other,Delhi
256,R00257,SKU012,2024-01-07,1,Damaged,Hyderabad
257,R00258,SKU012,2024-01-07,1,Late Delivery,Delhi
258,R00259,SKU012,2024-01-07,2,Other,Mumbai
259,R00260,SKU012,2024-01-07,3,Late Delivery,Chennai
260,R00261,SKU012,2024-01-07,3,Late Delivery,Mumbai
261,R00262,SKU012,2024-01-07,2,Damaged,Chennai
262,R00263,SKU012,2024-01-07,3,Late Delivery,Delhi
263,R00264,SKU012,2024-01-07,1,Damaged,Bangalore
264,R00265,SKU012,2024-01-07,2,Wrong Item,Bangalore
265,R00266,SKU013,2024-01-07,2,Late Delivery,Delhi
266,R00267,SKU013,2024-01-07,1,Damaged,Chennai
267,R00268,SKU013,2024-01-07,2,Late Delivery,Mumbai
268,R00269,SKU013,2024-01-07,3,Late Delivery,Bangalore
269,R00270,SKU013,2024-01-07,1,Late Delivery,Hyderabad
270,R00271,SKU013,2024-01-07,3,Damaged,Chennai
271,R00272,SKU013,2024-01-07,3,Late Delivery,Hyderabad
272,R00273,SKU013,2024-01-07,1,Damaged,Delhi
273,R00274,SKU013,2024-01-07,2,Wrong Item,Chennai
274,R00275,SKU013,2024-01-07,1,Late Delivery,Bangalore
275,R00276,SKU013,2024-01-07,2,Damaged,Bangalore
276,R00277,SKU013,2024-01-07,1,Late Delivery,Delhi
277,R00278,SKU013,2024-01-07,1,Wrong Item,Chennai
278,R00279,SKU013,2024-01-07,2,Wrong Item,Bangalore
279,R00280,SKU013,2024-01-07,3,Other,Bangalore
280,R00281,SKU013,2024-01-07,1,Wrong Item,Hyderabad
281,R00282,SKU013,2024-01-07,1,Late Delivery,Bangalore
282,R00283,SKU013,2024-01-07,3,Other,Mumbai
283,R00284,SKU013,2024-01-07,3,Late Delivery,Delhi
284,R00285,SKU014,2024-01-07,3,Damaged,Delhi
285,R00286,SKU014,2024-01-07,1,Late Delivery,Mumbai
286,R00287,SKU014,2024-01-07,3,Damaged,Delhi
287,R00288,SKU014,2024-01-07,1,Other,Bangalore
288,R00289,SKU014,2024-01-07,3,Wrong Item,Chennai
289,R00290,SKU014,2024-01-07,1,Wrong Item,Chennai
290,R00291,SKU014,2024-01-07,2,Damaged,Chennai
291,R00292,SKU014,2024-01-07,1,Wrong Item,Chennai
292,R00293,SKU014,2024-01-07,3,Late Delivery,Delhi
293,R00294,SKU014,2024-01-07,1,Late Delivery,Mumbai
294,R00295,SKU014,2024-01-07,1,Damaged,Delhi
295,R00296,SKU014,2024-01-07,3,Late Delivery,Delhi
296,R00297,SKU015,2024-01-07,2,Wrong Item,Delhi
297,R00298,SKU015,2024-01-07,1,Other,Bangalore
298,R00299,SKU015,2024-01-07,1,Wrong Item,Mumbai
299,R00300,SKU015,2024-01-07,2,Other,Delhi
300,R00301,SKU015,2024-01-07,2,Late Delivery,Mumbai
301,R00302,SKU015,2024-01-07,1,Damaged,Delhi
302,R00303,SKU015,2024-01-07,2,Damaged,Delhi
303,R00304,SKU015,2024-01-07,2,Other,Bangalore
304,R00305,SKU015,2024-01-07,3,Wrong Item,Delhi
305,R00306,SKU015,2024-01-07,2,Wrong Item,Chennai
306,R00307,SKU015,2024-01-07,3,Late Delivery,Hyderabad
307,R00308,SKU015,2024-01-07,1,Wrong Item,Delhi
308,R00309,SKU015,2024-01-07,3,Damaged,Mumbai
309,R00310,SKU015,2024-01-07,1,Damaged,Delhi
310,R00311,SKU015,2024-01-07,1,Damaged,Delhi
311,R00312,SKU015,2024-01-07,2,Late Delivery,Bangalore
312,R00313,SKU015,2024-01-07,3,Late Delivery,Mumbai
313,R00314,SKU015,2024-01-07,1,Late Delivery,Bangalore
314,R00315,SKU015,2024-01-07,3,Wrong Item,Mumbai
315,R00316,SKU015,2024-01-07,3,Wrong Item,Bangalore
316,R00317,SKU015,2024-01-07,1,Wrong Item,Bangalore
317,R00318,SKU015,2024-01-07,3,Other,Mumbai
318,R00319,SKU015,2024-01-07,1,Wrong Item,Bangalore
319,R00320,SKU015,2024-01-07,1,Late Delivery,Bangalore
320,R00321,SKU015,2024-01-07,1,Late Delivery,Mumbai
321,R00322,SKU015,2024-01-07,1,Late Delivery,Bangalore
322,R00323,SKU015,2024-01-07,3,Other,Chennai
323,R00324,SKU015,2024-01-07,3,Damaged,Chennai
324,R00325,SKU015,2024-01-07,2,Damaged,Mumbai
325,R00326,SKU015,2024-01-07,2,Wrong Item,Bangalore
326,R00327,SKU015,2024-01-07,1,Other,Bangalore
327,R00328,SKU016,2024-01-07,1,Late Delivery,Chennai
328,R00329,SKU016,2024-01-07,1,Damaged,Hyderabad
329,R00330,SKU016,2024-01-07,3,Wrong Item,Delhi
330,R00331,SKU016,2024-01-07,3,Wrong Item,Bangalore
331,R00332,SKU016,2024-01-07,1,Wrong Item,Bangalore
332,R00333,SKU016,2024-01-07,3,Late Delivery,Mumbai
333,R00334,SKU016,2024-01-07,3,Wrong Item,Delhi
334,R00335,SKU016,2024-01-07,2,Wrong Item,Chennai
335,R00336,SKU016,2024-01-07,2,Damaged,Chennai
336,R00337,SKU016,2024-01-07,3,Late Delivery,Hyderabad
337,R00338,SKU017,2024-01-07,1,Damaged,Mumbai
338,R00339,SKU017,2024-01-07,3,Damaged,Hyderabad
339,R00340,SKU017,2024-01-07,1,Wrong Item,Delhi
340,R00341,SKU017,2024-01-07,1,Other,Delhi
341,R00342,SKU017,2024-01-07,2,Other,Delhi
342,R00343,SKU017,2024-01-07,1,Wrong Item,Chennai
343,R00344,SKU017,2024-01-07,1,Wrong Item,Mumbai
344,R00345,SKU017,2024-01-07,2,Damaged,Hyderabad
345,R00346,SKU017,2024-01-07,2,Wrong Item,Mumbai
346,R00347,SKU017,2024-01-07,2,Late Delivery,Bangalore
347,R00348,SKU017,2024-01-07,1,Damaged,Delhi
348,R00349,SKU017,2024-01-07,2,Other,Hyderabad
349,R00350,SKU017,2024-01-07,1,Damaged,Bangalore
350,R00351,SKU017,2024-01-07,2,Other,Mumbai
351,R00352,SKU017,2024-01-07,3,Late Delivery,Mumbai
352,R00353,SKU017,2024-01-07,1,Damaged,Mumbai
353,R00354,SKU017,2024-01-07,3,Wrong Item,Bangalore
354,R00355,SKU017,2024-01-07,2,Other,Hyderabad
355,R00356,SKU017,2024-01-07,2,Other,Bangalore
356,R00357,SKU017,2024-01-07,2,Other,Delhi
357,R00358,SKU017,2024-01-07,1,Damaged,Bangalore
358,R00359,SKU017,2024-01-07,1,Damaged,Hyderabad
359,R00360,SKU017,2024-01-07,2,Late Delivery,Bangalore
360,R00361,SKU017,2024-01-07,1,Wrong Item,Hyderabad
361,R00362,SKU017,2024-01-07,3,Other,Delhi
362,R00363,SKU017,2024-01-07,3,Other,Hyderabad
363,R00364,SKU017,2024-01-07,1,Wrong Item,Chennai
364,R00365,SKU017,2024-01-07,2,Other,Bangalore
365,R00366,SKU017,2024-01-07,3,Late Delivery,Mumbai
366,R00367,SKU017,2024-01-07,1,Damaged,Chennai
367,R00368,SKU018,2024-01-07,3,Late Delivery,Mumbai
368,R00369,SKU018,2024-01-07,2,Other,Hyderabad
369,R00370,SKU018,2024-01-07,1,Other,Chennai
370,R00371,SKU018,2024-01-07,2,Late Delivery,Delhi
371,R00372,SKU018,2024-01-07,3,Damaged,Mumbai
372,R00373,SKU018,2024-01-07,2,Wrong Item,Delhi
373,R00374,SKU018,2024-01-07,2,Other,Delhi
374,R00375,SKU018,2024-01-07,3,Wrong Item,Mumbai
375,R00376,SKU018,2024-01-07,1,Late Delivery,Bangalore
376,R00377,SKU018,2024-01-07,1,Late Delivery,Bangalore
377,R00378,SKU018,2024-01-07,3,Damaged,Mumbai
378,R00379,SKU018,2024-01-07,3,Damaged,Bangalore
379,R00380,SKU018,2024-01-07,1,Other,Delhi
380,R00381,SKU018,2024-01-07,3,Other,Chennai
381,R00382,SKU018,2024-01-07,3,Other,Chennai
382,R00383,SKU019,2024-01-07,3,Wrong Item,Hyderabad
383,R00384,SKU019,2024-01-07,2,Wrong Item,Hyderabad
384,R00385,SKU019,2024-01-07,2,Other,Hyderabad
385,R00386,SKU019,2024-01-07,3,Late Delivery,Delhi
386,R00387,SKU019,2024-01-07,2,Damaged,Hyderabad
387,R00388,SKU019,2024-01-07,3,Other,Chennai
388,R00389,SKU019,2024-01-07,3,Other,Chennai
389,R00390,SKU019,2024-01-07,2,Other,Chennai
390,R00391,SKU019,2024-01-07,2,Other,Mumbai
391,R00392,SKU019,2024-01-07,3,Late Delivery,Chennai
392,R00393,SKU019,2024-01-07,1,Wrong Item,Chennai
393,R00394,SKU020,2024-01-07,3,Other,Delhi
394,R00395,SKU020,2024-01-07,3,Other,Bangalore
395,R00396,SKU020,2024-01-07,2,Wrong Item,Mumbai
396,R00397,SKU020,2024-01-07,3,Late Delivery,Mumbai
397,R00398,SKU020,2024-01-07,3,Damaged,Chennai
398,R00399,SKU020,2024-01-07,2,Damaged,Chennai
399,R00400,SKU020,2024-01-07,2,Wrong Item,Bangalore
400,R00401,SKU020,2024-01-07,2,Damaged,Bangalore
401,R00402,SKU020,2024-01-07,1,Damaged,Chennai
402,R00403,SKU020,2024-01-07,2,Damaged,Mumbai
403,R00404,SKU020,2024-01-07,2,Late Delivery,Bangalore
404,R00405,SKU020,2024-01-07,1,Late Delivery,Mumbai
405,R00406,SKU021,2024-01-07,1,Damaged,Mumbai
406,R00407,SKU021,2024-01-07,3,Other,Bangalore
407,R00408,SKU021,2024-01-07,3,Wrong Item,Mumbai
408,R00409,SKU021,2024-01-07,1,Late Delivery,Delhi
409,R00410,SKU021,2024-01-07,1,Late Delivery,Chennai
410,R00411,SKU021,2024-01-07,3,Other,Delhi
411,R00412,SKU021,2024-01-07,1,Late Delivery,Hyderabad
412,R00413,SKU021,2024-01-07,2,Late Delivery,Mumbai
413,R00414,SKU021,2024-01-07,1,Damaged,Chennai
414,R00415,SKU021,2024-01-07,3,Damaged,Delhi
415,R00416,SKU021,2024-01-07,2,Other,Chennai
416,R00417,SKU021,2024-01-07,3,Damaged,Hyderabad
417,R00418,SKU021,2024-01-07,2,Late Delivery,Mumbai
418,R00419,SKU021,2024-01-07,1,Late Delivery,Chennai
419,R00420,SKU022,2024-01-07,1,Damaged,Hyderabad
420,R00421,SKU022,2024-01-07,2,Damaged,Bangalore
421,R00422,SKU022,2024-01-07,1,Damaged,Mumbai
422,R00423,SKU022,2024-01-07,1,Wrong Item,Bangalore
423,R00424,SKU022,2024-01-07,2,Other,Delhi
424,R00425,SKU022,2024-01-07,2,Other,Bangalore
425,R00426,SKU022,2024-01-07,2,Wrong Item,Delhi
426,R00427,SKU022,2024-01-07,3,Late Delivery,Bangalore
427,R00428,SKU022,2024-01-07,3,Late Delivery,Mumbai
428,R00429,SKU022,2024-01-07,2,Other,Mumbai
429,R00430,SKU022,2024-01-07,3,Other,Mumbai
430,R00431,SKU022,2024-01-07,3,Wrong Item,Mumbai
431,R00432,SKU022,2024-01-07,1,Wrong Item,Chennai
432,R00433,SKU022,2024-01-07,2,Wrong Item,Mumbai
433,R00434,SKU022,2024-01-07,3,Wrong Item,Mumbai
434,R00435,SKU022,2024-01-07,2,Wrong Item,Chennai
435,R00436,SKU022,2024-01-07,2,Late Delivery,Delhi
436,R00437,SKU022,2024-01-07,3,Damaged,Hyderabad
437,R00438,SKU023,2024-01-07,1,Other,Mumbai
438,R00439,SKU023,2024-01-07,1,Late Delivery,Delhi
439,R00440,SKU023,2024-01-07,3,Wrong Item,Chennai
440,R00441,SKU023,2024-01-07,3,Late Delivery,Bangalore
441,R00442,SKU023,2024-01-07,2,Other,Chennai
442,R00443,SKU023,2024-01-07,3,Damaged,Chennai
443,R00444,SKU023,2024-01-07,2,Damaged,Delhi
444,R00445,SKU023,2024-01-07,1,Other,Delhi
445,R00446,SKU023,2024-01-07,1,Other,Mumbai
446,R00447,SKU023,2024-01-07,2,Damaged,Mumbai
447,R00448,SKU023,2024-01-07,2,Wrong Item,Bangalore
